NAME,AXIOM_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,OUTPUT_SIZE,TIME
00752,1558,2722,111744,62290,2426,42816
00753,426,714,12197,6866,659,1247
00754,1882,7742,176961,109200,3396,114856
00755,928,1611,48945,26710,1454,8433
00756,1173,2017,80714,40031,1784,21153
00757,1727697,0,0,0,1604386,74167
00758,82119,41877,109331,134406,0,TIMEOUT
00759,7848,1295,4845,9710,7455,2260
00760,222048,5048,57506,91949,0,TIMEOUT
00761,18747,14909,735327,58227,0,TIMEOUT
00762,9136,29708,2071723,17190,0,TIMEOUT
00763,402,414,897,398,378,352
00764,82119,39920,114377,123115,0,TIMEOUT
00765,11,0,0,0,11,203
00766,2057,500,2698,826,2034,557
00767,37,0,0,0,39,217
00768,8283,1442,5345,10468,7825,2569
00769,5185,59,3919,5224,4695,1226
00770,5196,1189,4378,6859,4787,1247
00771,1,0,0,0,2,230
00772,619,70,619,508,669,361
00773,604,562,746,984,631,354
00774,604,529,691,946,631,355
00775,298,2476,1153,2613,497,360
00776,89,0,0,0,95,283
00777,89,0,0,0,95,234
00778,91618,9204,54255,118317,0,TIMEOUT
00779,223,0,0,0,223,270
00780,223,0,0,0,223,254
00781,373,622,695,607,430,347
00782,373,183,467,300,439,348
00783,371,203,488,309,432,352
00784,933,608,859,1294,1007,367
00786,135545,7424,136251,75878,0,TIMEOUT
00787,58730,11724,45638,129773,0,TIMEOUT
00788,2294,65,1922,941,2355,499
00789,2347,56,2003,944,2416,522
00790,2554,71,2169,1028,2627,523
00792,56605,246430,45805,603057,0,TIMEOUT
00793,284,619,576,965,337,347
00795,112804,10536,40513,129072,0,TIMEOUT
